0,0,2040
0.1,0.054165391,2040
0.2,0.108330781,2040
0.3,0.162496172,2040
0.4,0.216661562,2040
0.5,0.270826953,2040
0.6,0.324992343,2040
0.7,0.379157734,2040
0.8,0.433323125,2040
0.9,0.487488515,2030
1,0.541653906,1647
1.1,0.595819296,1435
1.2,0.649984687,1262
1.3,0.704150078,1454
1.4,0.758315468,1795
1.5,0.812480859,1989
1.6,0.866646249,2040
1.7,0.92081164,2040
1.8,0.97497703,2040
1.9,1.029142421,2040
2,1.083307812,2040
2.1,1.137473202,2040
2.2,1.191638593,2040
2.3,1.245803983,2040
2.4,1.299969374,2040
2.5,1.354134764,2040
2.6,1.408300155,2040
2.7,1.462465546,2040
2.8,1.516630936,2040
2.9,1.570796327,2040
3,1.624961717,2040
3.1,1.679127108,2040
3.2,1.733292499,2040
3.3,1.787457889,1910
3.4,1.84162328,1480
3.5,1.89578867,1420
3.6,1.949954061,1496
3.7,2.004119451,1606
3.8,2.058284842,1835
3.9,2.112450233,1890
4,2.166615623,2000
4.1,2.220781014,2040
4.2,2.274946404,2040
4.3,2.329111795,2040
4.4,2.383277185,2040
4.5,2.437442576,2040
4.6,2.491607967,2040
4.7,2.545773357,2040
4.8,2.599938748,2040
4.9,2.654104138,2040
5,2.708269529,2040
5.1,2.76243492,2040
5.2,2.81660031,2040
5.3,2.870765701,2040
5.4,2.924931091,2040
5.5,2.979096482,2040
5.6,3.033261872,1882
5.7,3.087427263,1624
5.8,3.141592654,1473
5.9,3.195758044,1425
6,3.249923435,1389
6.1,3.304088825,1511
6.2,3.358254216,1792
6.3,3.412419606,2013
6.4,3.466584997,2040
6.5,3.520750388,2040
6.6,3.574915778,2040
6.7,3.629081169,2040
6.8,3.683246559,2040
6.9,3.73741195,2040
7,3.791577341,2040
7.1,3.845742731,2040
7.2,3.899908122,2040
7.3,3.954073512,2040
7.4,4.008238903,2040
7.5,4.062404293,2040
7.6,4.116569684,2040
7.7,4.170735075,2040
7.8,4.224900465,1935
7.9,4.279065856,1591
8,4.333231246,1432
8.1,4.387396637,1430
8.2,4.441562027,1445
8.3,4.495727418,1501
8.4,4.549892809,1570
8.5,4.604058199,1729
8.6,4.65822359,1930
8.7,4.71238898,2040
8.8,4.766554371,2040
8.9,4.820719762,2040
9,4.874885152,2040
9.1,4.929050543,2040
9.2,4.983215933,2040
9.3,5.037381324,2040
9.4,5.091546714,2040
9.5,5.145712105,2040
9.6,5.199877496,2040
9.7,5.254042886,2040
9.8,5.308208277,2040
9.9,5.362373667,2040
10,5.416539058,2040
10.1,5.470704448,2040
10.2,5.524869839,2040
10.3,5.57903523,1977
10.4,5.63320062,1857
10.5,5.687366011,1558
10.6,5.741531401,1530
10.7,5.795696792,1616
10.8,5.849862183,1782
10.9,5.904027573,1926
11,5.958192964,2040
11.1,6.012358354,2040
11.2,6.066523745,2040
11.3,6.120689135,2040
11.4,6.174854526,2040
11.5,6.229019917,2040
11.6,6.283185307,2040
